dashboard,முகப்பு
last_sent,கடைசியாக அனுப்பிய திகதி
send_money,பணம் அனுப்பவும்
your_recipients,உங்கள் பெறுநர்கள்
welcome_message,அன்புடையீர் வருகைக்கு நன்றிகள்
sub_title_1,"அன்புடையீர்! வருகைக்கு நன்றி! இதுவரைக்கும் வந்து விட்டடீர்கள் வாழ்த்துக்கள்! இனி என்ன வீட்டில் இருந்த இடத்தில் இருந்து இலவசமாக உலகில் எங்க வேண்டுமானாலும் பணம் அனுப்பலாம்! அதோடு நின்று விடாமல் நீங்களும் கொஞ்சம் சம்பாதிக்கலாம், என்ன குழப்பமாக இருக்கிறதா? ஆமாம் நீங்கள் உங்கள் நண்பர்கள் உறவினர்கள் மூன்று பேரை ரெமிடீபீல்(Remitbee) பணம் அனுப்ப வைத்தால் உங்களுக்கு அம்பது டாலர்($50.00) ரேவார்ட்ஸ் (My Rewards)வந்து சேரும். இது ஒவ்வரு முறையும் நீங்கள் மூன்று பேருக்கு சொல்லும் போது வரும். இது எப்படி இருக்கு? மை ரேவார்டை (go to My Rewards) பாருங்கள்."
promo_cards_covid_primary,கோவிட்-19 புதுப்பிக்கப்பட்ட்து
promo_cards_covid_secondary,எங்கள் வணிக நேரம் மற்றும் எங்கள் வாடிக்கையாளர்கள் மற்றும் ஊழியர்களின் ஆரோக்கியத்தைப் பாதுகாக்க நாங்கள் எடுத்து வரும் நடவடிக்கைகள் குறித்த முக்கியமான தகவல்கள்.
promo_cards_covid_alt,ரெமிட்பீ கோவிட் -19 புதுப்பிக்கப்பட்ட்து
promo_cards_covid_link,மேலும் வாசிக்க
promo_cards_refer_primary,3 நண்பர்களுக்கு அறிமுகப்படுத்தி $ 50 சம்பாதிக்கவும்
promo_cards_refer_secondary,"எங்கள் பரிந்துரைப்பு திட்டத்தின் மூலம், நீங்கள் எவ்வளவு சம்பாதிக்க முடியும் என்பதற்கு வரம்புகள் இல்லை! நண்பர்களுக்கு அறிமுகப்படுத்தினாள் ஒவ்வொரு 3 பேருக்கும் $ 50 பெறவும்."
promo_cards_refer_alt,ரெமிட்பீ ஐகானைப் பார்க்கவும்
promo_cards_refer_link,அழைக்கத் தொடங்குங்கள்
promo_cards_mobile_apps_primary,புதிய ரெமிட்பீ ஆப் பயன்பாட்டைப் பதிவிறக்குக!
promo_cards_mobile_apps_secondary,"பயணத்தின்போது எங்கள் வாடிக்கையாளர்களுக்காக உருவாக்கப்பட்டது, அனைத்து ஐஓஎஸ் மற்றும் ஆண்ட்ராய்டு சாதனங்களுக்கும் ரெமிட்பீ கிடைக்கிறது!"
promo_cards_fee_free_primary,$ 500 க்கு மேல் பணம் அனுப்பினால் இலவசம்
promo_cards_fee_free_secondary,"கட்டணமில்லா பணம் அனுப்புதல் ரெமிட்பீ வாலிட் வழியாக $ 500 CAD மேல் அனுப்புங்கள்! எங்கள் கட்டணம் எப்போதும் முடிந்தவரை குறைவாக இருக்கும், அவை ஒருபோதும் மறைக்கப்படுவதில்லை."
promo_cards_fee_free_alt,ரெமிட்பீ வாலிட் ஐகான்
promo_cards_fee_free_link,வாலிட் செல்லுங்கள்
mobile_app_dialog_link_send_success,உங்கள் தொலைபேசியில் ஒரு இணைப்பு வீணடிக்கப்பட்டது.
mobile_app_dialog_link_request,இணைப்புடன் எனக்கு எஸ்எம்எஸ் அனுப்புங்கள்
mobile_app_dialog_header,புதிய ரெமிட்பீ ஆப் பயன்பாடு உங்களுக்காக காத்திருக்கிறது
mobile_app_dialog_subtitle,"எங்கள் வாடிக்கையாளர்களுக்காக தேவைக்கேற்ப உருவாக்கப்பட்டது, எங்கள் மொபைல் ஆப் பயன்பாடு உங்கள் iOS அல்லது Android சாதனத்தில் கிடைக்கும் அனைத்து டெஸ்ரொப் செயல்பாடுகளையும் கொண்டுள்ளது!"
mobile_app_dialog_link_will_be_sent,ஆப் பயன்பாட்டைப் பதிவிறக்குவதற்கான இணைப்பு இதற்கு அனுப்பப்படும்:
mobile_app_dialog_alt_subtitle,"பயணத்தின்போது எங்கள் வாடிக்கையாளர்களுக்காக உருவாக்கப்பட்டது, உங்கள் iOS அல்லது Android சாதனத்தில் சுருக்கப்பட்ட வலைத்தளத்திலிருந்து நீங்கள் எதிர்பார்க்கும் அனைத்து செயல்பாடுகளையும் எங்கள் மொபைல் ஆப் பயன்பாடு கொண்டுள்ளது!"
mobile_app_dialog_you_will_be_redirected,நீங்கள் திருப்பி விடப்படுவீர்கள்
mobile_app_dialog_app_store_in_a_few,ஆப் ஸ்டோர் சில நொடிகளில்.
