page_title,பதிவுசெய்ய | Remitbee & ரெமிட்பி ஓன்லைன் பணப் பரிமாற்றம்
page_description,கனடாவிலிருந்து உலகம் முழுவதும் 40+ நாடுகளுக்கு பணம் அனுப்ப ரெமிட்பியில் சேரவும். இன்று பதிவுசெய்து கட்டணம் இல்லாமல் பணத்தை அனுப்ப & மாற்ற உங்கள் இலவச கணக்கைப் பெறுங்கள்!
no_code,குறியீடு இல்லையா? {{விநாடிகளில்}} நொடியில் மீண்டும் அனுப்புங்கள்
enter_verification_code,உங்கள் கைத்தொலைபேசியை பாருங்கள்
enter_six_digit_code,உங்கள் கைத்தொலைபேசியில் ஆறு இலக்கம் வந்திருக்கும். அதை இங்கே போடுங்கள்.
verify_code,உறுதிப்படுத்துக்கள்
lets_verify_phonenumber,உங்கள் தொலைபேசி என்னை உறுதிப்படுத்துங்கள்
enter_canadian_number,உங்கள் கனடிய கைத்தொலைபேசி இலக்கத்தை போடுங்கள்
check_phone_number,உங்கள் தொலைபேசி எண்ணைச் சரிபார்க்கவும்
will_verify_phonenumber,தொலைபேசி எண்ணை சரிபார்க்கிறோம்
would_like_edit_phonenumber,"இது சரியா, அல்லது எண்ணைத் திருத்த விரும்புகிறீர்களா?"
send_code,குறியீட்டை அனுப்பு
resend,மறுபடியும் அனுப்பவும்
skip,தவிர்
password_regex_error,கடவுச்சொல்லில் குறைந்தது ஒரு சிறிய எழுத்து மற்றும் ஒரு பெரிய எழுத்து இருக்க வேண்டும்.
welcome_msg,அன்புடையீர் வருகைக்கு நன்றிகள் & ரெமிட்பிக்கு வருக வருக
lets_setup,உங்கள் இலவச கணக்கை தொடங்குவோம் & அமைப்போம்.
already_have_account,ஏற்கனவே ஒரு கணக்கு உள்ளதா?
referral_code,அறிமுகப்படுத்தப்பட்ட (referral code) என் இருக்கா?
refer_code_label,பரிந்துரை குறியீடு
