additional_information,கூடுதல் தகவல்
all,அனைத்தும்
amount,அனுப்பிய தொகை
cancel_transaction,பரிவர்த்தனை ரத்துசெய்யுன்கள்
cancelled,ரத்து செய்யப்பட்டது
cancellation_request_sent,ரத்து கோரிக்கை அனுப்பப்பட்டது
cancellation_request_sent_alt,உங்கள் ரத்து கோரிக்கை அனுப்பப்பட்டது.
completed,நிறைவு & முடிவடைந்துவிட்டது
create_complain,உதவி தேவை?
view_escalation,விரிவாக்கத்தைக் பார்க்கவும்
date,தேதி
date_sent,அனுப்பிய தேதி
date_received,பெறப்பட்ட தேதி
details,விவரங்கள்
download_receipt,பதிவிறக்கம் பில்
end_date,கடைசி தேதி
exchange_rate,பரிமாற்று விகிதம்
in_queue,வரிசையில்
received,கிடைத்துவிட்டது & பெறப்பட்டது
recipient,கிடைக்க வேண்டியவர் & பெறுநர்
share,பகிர்ந்து கொள்ளுங்கள்
sort_by,மூலம் வரிசைப்படுத்து & சுருக்கமக வாங்குங்கள்
start_date,தொடக்க தேதி
status,நிலை
they_received,அவர்கள் பெற்றுவிட்டனர்
total,மொத்தம்
transaction_id,பரிவர்த்தனை ஐடி
transaction_type,பரிவர்த்தனை வகை
transaction_details,பரிமாற்ற விவரங்கள்
transaction_status,பரிவர்த்தனை நிலை
transactions_history,பரிவர்த்தனை வரலாறு
view_details,விபரங்களைப் பாருங்கள்
you_sent,நீங்கள் அனுப்புங்கள்
your_transactions,உங்கள் பரிவர்த்தனைகள்
in_progress,நடந்து கொண்டிருக்கிறது
attention_needed,கவனம் தேவை
released,வெளியிடப்பட்டது
transaction_failed,பரிவர்த்தனை தோல்வியடைந்தது
trans_status_not_scanned,ஸ்கான் செய்யப்படவில்லை
trans_status_compliance_pending,இணக்கம் & முறைப்பாடு நிலுவையில் உள்ளது
trans_status_waiting_for_payment,கட்டணத்திற்காக காத்திருக்கிறது
trans_status_customer_ok,வாடிக்கையாளர் சரி
trans_status_failed_queue,வரிசை தோல்வியடைந்தது
trans_status_hq_processed,Hq பதப்படுத்தப்பட்டது
trans_status_transaction_held,பரிவர்த்தனை நடைபெற்றது
trans_status_completed,நிறைவு & முடிவடைந்து விட்டது
trans_status_cancellation_pending,ரத்து நிலுவையில் உள்ளது
trans_status_cancelled,ரத்து செய்யப்பட்டது
